"Giá cả hợp lý, chất lượng tốt.",positive
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Rất thích không gian ở đây, thoải mái.",positive
"Không gian đẹp, âm thanh sống động.",positive
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Âm thanh rè, mic không tốt.",negative
Giá quá cao so với chất lượng.,negative
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
Không có nhiều bài hát mới.,negative
Đồ uống đắt nhưng không ngon.,negative
"Rất thích không gian ở đây, thoải mái.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Giá cả hợp lý, chất lượng tốt.",positive
"Nhân viên thái độ kém, không nhiệt tình.",negative
Chờ đợi quá lâu mới được phục vụ.,negative
Không có nhiều bài hát mới.,negative
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
"Âm thanh rè, mic không tốt.",negative
"Âm thanh hay, phòng sạch sẽ.",positive
"Âm thanh rè, mic không tốt.",negative
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
Đồ uống đắt nhưng không ngon.,negative
"Âm thanh rè, mic không tốt.",negative
Đồ uống đắt nhưng không ngon.,negative
Giá quá cao so với chất lượng.,negative
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
Đồ uống đắt nhưng không ngon.,negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
Giá quá cao so với chất lượng.,negative
"Karaoke rất vui, sẽ quay lại lần sau.",positive
Giá quá cao so với chất lượng.,negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
Không có nhiều bài hát mới.,negative
Chờ đợi quá lâu mới được phục vụ.,negative
Giá quá cao so với chất lượng.,negative
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Âm thanh rè, mic không tốt.",negative
Không có nhiều bài hát mới.,negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
Chờ đợi quá lâu mới được phục vụ.,negative
"Âm thanh hay, phòng sạch sẽ.",positive
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
Giá quá cao so với chất lượng.,negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Không gian đẹp, âm thanh sống động.",positive
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
Chờ đợi quá lâu mới được phục vụ.,negative
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
Không có nhiều bài hát mới.,negative
"Không gian quá ồn ào, không thoải mái.",negative
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
"Âm thanh rè, mic không tốt.",negative
"Âm thanh hay, phòng sạch sẽ.",positive
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Giá cả hợp lý, chất lượng tốt.",positive
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
"Không gian quá ồn ào, không thoải mái.",negative
"Âm thanh rè, mic không tốt.",negative
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Không gian đẹp, âm thanh sống động.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
Không có nhiều bài hát mới.,negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Không gian quá ồn ào, không thoải mái.",negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Âm thanh hay, phòng sạch sẽ.",positive
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
Chờ đợi quá lâu mới được phục vụ.,negative
Không có nhiều bài hát mới.,negative
"Giá cả hợp lý, chất lượng tốt.",positive
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
Không có nhiều bài hát mới.,negative
"Giá cả hợp lý, chất lượng tốt.",positive
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
Không có nhiều bài hát mới.,negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Âm thanh hay, phòng sạch sẽ.",positive
"Âm thanh rè, mic không tốt.",negative
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
Chờ đợi quá lâu mới được phục vụ.,negative
"Âm thanh hay, phòng sạch sẽ.",positive
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Không gian đẹp, âm thanh sống động.",positive
"Không gian đẹp, âm thanh sống động.",positive
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
Chờ đợi quá lâu mới được phục vụ.,negative
"Không gian đẹp, âm thanh sống động.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Không gian đẹp, âm thanh sống động.",positive
"Giá cả hợp lý, chất lượng tốt.",positive
Đồ uống đắt nhưng không ngon.,negative
Không có nhiều bài hát mới.,negative
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
"Rất thích không gian ở đây, thoải mái.",positive
"Không gian quá ồn ào, không thoải mái.",negative
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
"Không gian đẹp, âm thanh sống động.",positive
"Âm thanh rè, mic không tốt.",negative
Không có nhiều bài hát mới.,negative
Chờ đợi quá lâu mới được phục vụ.,negative
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Không gian đẹp, âm thanh sống động.",positive
"Âm thanh rè, mic không tốt.",negative
"Không gian đẹp, âm thanh sống động.",positive
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
"Giá cả hợp lý, chất lượng tốt.",positive
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Giá cả hợp lý, chất lượng tốt.",positive
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Âm thanh rè, mic không tốt.",negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Nhân viên thái độ kém, không nhiệt tình.",negative
Không có nhiều bài hát mới.,negative
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
Chờ đợi quá lâu mới được phục vụ.,negative
"Rất thích không gian ở đây, thoải mái.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
Đồ uống đắt nhưng không ngon.,negative
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Không gian quá ồn ào, không thoải mái.",negative
"Rất thích không gian ở đây, thoải mái.",positive
"Rất thích không gian ở đây, thoải mái.",positive
Không có nhiều bài hát mới.,negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
Không có nhiều bài hát mới.,negative
"Không gian đẹp, âm thanh sống động.",positive
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Nhân viên thái độ kém, không nhiệt tình.",negative
Không có nhiều bài hát mới.,negative
Đồ uống đắt nhưng không ngon.,negative
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Không gian đẹp, âm thanh sống động.",positive
Không có nhiều bài hát mới.,negative
"Âm thanh rè, mic không tốt.",negative
Không có nhiều bài hát mới.,negative
Đồ uống đắt nhưng không ngon.,negative
"Không gian quá ồn ào, không thoải mái.",negative
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
Không có nhiều bài hát mới.,negative
"Âm thanh rè, mic không tốt.",negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Rất thích không gian ở đây, thoải mái.",positive
"Âm thanh hay, phòng sạch sẽ.",positive
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Không gian quá ồn ào, không thoải mái.",negative
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
Không có nhiều bài hát mới.,negative
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
"Âm thanh rè, mic không tốt.",negative
"Không gian quá ồn ào, không thoải mái.",negative
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
Chờ đợi quá lâu mới được phục vụ.,negative
"Rất thích không gian ở đây, thoải mái.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Giá cả hợp lý, chất lượng tốt.",positive
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Âm thanh rè, mic không tốt.",negative
Không có nhiều bài hát mới.,negative
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
"Không gian đẹp, âm thanh sống động.",positive
Đồ uống đắt nhưng không ngon.,negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Âm thanh rè, mic không tốt.",negative
"Rất thích không gian ở đây, thoải mái.",positive
Đồ uống đắt nhưng không ngon.,negative
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Rất thích không gian ở đây, thoải mái.",positive
Giá quá cao so với chất lượng.,negative
Đồ uống đắt nhưng không ngon.,negative
Giá quá cao so với chất lượng.,negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
Đồ uống đắt nhưng không ngon.,negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Không gian quá ồn ào, không thoải mái.",negative
Chờ đợi quá lâu mới được phục vụ.,negative
"Rất thích không gian ở đây, thoải mái.",positive
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
Không có nhiều bài hát mới.,negative
"Không gian đẹp, âm thanh sống động.",positive
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Âm thanh rè, mic không tốt.",negative
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
Không có nhiều bài hát mới.,negative
"Âm thanh rè, mic không tốt.",negative
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
Đồ uống đắt nhưng không ngon.,negative
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Không gian quá ồn ào, không thoải mái.",negative
Chờ đợi quá lâu mới được phục vụ.,negative
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
Chờ đợi quá lâu mới được phục vụ.,negative
Không có nhiều bài hát mới.,negative
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
"Âm thanh hay, phòng sạch sẽ.",positive
"Rất thích không gian ở đây, thoải mái.",positive
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Karaoke rất vui, sẽ quay lại lần sau.",positive
Giá quá cao so với chất lượng.,negative
Chờ đợi quá lâu mới được phục vụ.,negative
Không có nhiều bài hát mới.,negative
Giá quá cao so với chất lượng.,negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Giá cả hợp lý, chất lượng tốt.",positive
"Rất thích không gian ở đây, thoải mái.",positive
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
Giá quá cao so với chất lượng.,negative
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
Đồ uống đắt nhưng không ngon.,negative
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
Không có nhiều bài hát mới.,negative
"Rất thích không gian ở đây, thoải mái.",positive
"Không gian quá ồn ào, không thoải mái.",negative
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
Không có nhiều bài hát mới.,negative
Giá quá cao so với chất lượng.,negative
Không có nhiều bài hát mới.,negative
Chờ đợi quá lâu mới được phục vụ.,negative
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
"Không gian quá ồn ào, không thoải mái.",negative
"Rất thích không gian ở đây, thoải mái.",positive
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Âm thanh hay, phòng sạch sẽ.",positive
"Không gian quá ồn ào, không thoải mái.",negative
Đồ uống đắt nhưng không ngon.,negative
"Không gian quá ồn ào, không thoải mái.",negative
"Giá cả hợp lý, chất lượng tốt.",positive
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
Không có nhiều bài hát mới.,negative
"Không gian quá ồn ào, không thoải mái.",negative
"Âm thanh rè, mic không tốt.",negative
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Giá cả hợp lý, chất lượng tốt.",positive
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
Chờ đợi quá lâu mới được phục vụ.,negative
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Giá cả hợp lý, chất lượng tốt.",positive
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
"Không gian đẹp, âm thanh sống động.",positive
"Không gian quá ồn ào, không thoải mái.",negative
"Không gian đẹp, âm thanh sống động.",positive
Đồ uống đắt nhưng không ngon.,negative
Đồ uống đắt nhưng không ngon.,negative
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
Chờ đợi quá lâu mới được phục vụ.,negative
"Âm thanh rè, mic không tốt.",negative
"Giá cả hợp lý, chất lượng tốt.",positive
"Âm thanh rè, mic không tốt.",negative
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
Không có nhiều bài hát mới.,negative
"Rất thích không gian ở đây, thoải mái.",positive
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
"Âm thanh rè, mic không tốt.",negative
Đồ uống đắt nhưng không ngon.,negative
Giá quá cao so với chất lượng.,negative
Đồ uống đắt nhưng không ngon.,negative
"Karaoke rất vui, sẽ quay lại lần sau.",positive
Không có nhiều bài hát mới.,negative
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
Giá quá cao so với chất lượng.,negative
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Rất thích không gian ở đây, thoải mái.",positive
Chờ đợi quá lâu mới được phục vụ.,negative
"Không gian quá ồn ào, không thoải mái.",negative
Không có nhiều bài hát mới.,negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
"Rất thích không gian ở đây, thoải mái.",positive
Đồ uống đắt nhưng không ngon.,negative
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
Không có nhiều bài hát mới.,negative
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
"Âm thanh rè, mic không tốt.",negative
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Không gian quá ồn ào, không thoải mái.",negative
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
Đồ uống đắt nhưng không ngon.,negative
Đồ uống đắt nhưng không ngon.,negative
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Âm thanh hay, phòng sạch sẽ.",positive
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Âm thanh rè, mic không tốt.",negative
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
Đồ uống đắt nhưng không ngon.,negative
Chờ đợi quá lâu mới được phục vụ.,negative
"Rất thích không gian ở đây, thoải mái.",positive
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
Chờ đợi quá lâu mới được phục vụ.,negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
"Rất thích không gian ở đây, thoải mái.",positive
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
"Không gian quá ồn ào, không thoải mái.",negative
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
"Không gian đẹp, âm thanh sống động.",positive
"Âm thanh hay, phòng sạch sẽ.",positive
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Không gian đẹp, âm thanh sống động.",positive
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Âm thanh hay, phòng sạch sẽ.",positive
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
"Nhân viên phục vụ chu đáo, rất hài lòng.",positive
Giá quá cao so với chất lượng.,negative
"Rất thích không gian ở đây, thoải mái.",positive
"Âm thanh hay, phòng sạch sẽ.",positive
Không có nhiều bài hát mới.,negative
Không có nhiều bài hát mới.,negative
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Âm thanh rè, mic không tốt.",negative
"Không gian quá ồn ào, không thoải mái.",negative
"Dịch vụ kém, nhân viên thiếu chuyên nghiệp.",negative
Giá quá cao so với chất lượng.,negative
Giá quá cao so với chất lượng.,negative
"Phòng quá nhỏ, không đủ chỗ ngồi.",negative
Đồ uống đắt nhưng không ngon.,negative
"Karaoke rất vui, sẽ quay lại lần sau.",positive
"Không gian đẹp, âm thanh sống động.",positive
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Nhân viên thái độ kém, không nhiệt tình.",negative
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Đèn trang trí đẹp, tạo không khí sôi động.",positive
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Không gian quá ồn ào, không thoải mái.",negative
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
"Dịch vụ tuyệt vời, nhân viên thân thiện.",positive
Đồ uống đắt nhưng không ngon.,negative
"Đồ ăn và nước uống ngon, phục vụ nhanh.",positive
"Không gian đẹp, âm thanh sống động.",positive
Đồ uống đắt nhưng không ngon.,negative
"Nhạc chất lượng cao, cảm giác tuyệt vời.",positive
"Hệ thống đặt phòng không tốt, phải đợi lâu.",negative
"Âm thanh rè, mic không tốt.",negative
Không có nhiều bài hát mới.,negative
comment,label
Nhân viên không nhiệt tình Điều hòa hỏng Âm thanh chán,negative
Âm thanh sống động Giá cả hợp lý Trải nghiệm đáng nhớ Chỗ đậu xe rộng rãi Dịch vụ tuyệt vời,positive
Giá quá cao Nhân viên không thân thiện Phòng dơ bẩn,negative
Trải nghiệm tệ hại Bảng chọn bài khó dùng Phục vụ chậm Phòng dơ bẩn Nhạc cũ kỹ,negative
Ghế ngồi cứng Thất vọng về chất lượng Giá quá cao Bảng chọn bài khó dùng,negative
Thời gian phục vụ nhanh Bảng chọn bài dễ dùng Trải nghiệm đáng nhớ,positive
Hệ thống ánh sáng kém Bảng chọn bài khó dùng,negative
Hệ thống ánh sáng đẹp Điều hòa mát mẻ Trải nghiệm đáng nhớ,positive
Nhân viên không thân thiện Ghế ngồi cứng Bảng chọn bài khó dùng,negative
Nhân viên thân thiện Phòng sạch sẽ Hệ thống ánh sáng đẹp,positive
Âm thanh sống động Nhạc hay Giá cả hợp lý Ghế ngồi thoải mái Điều hòa mát mẻ,positive
Chất lượng vượt mong đợi Chỗ ngồi rộng rãi Có nhiều bài hát mới,positive
Âm thanh chán Không gian chật chội Không đáng tiền Dịch vụ quá tệ,negative
Phòng sạch sẽ Nhạc hay Hệ thống ánh sáng đẹp,positive
Quản lý không quan tâm Ghế ngồi cứng Thất vọng về chất lượng,negative
Không đáng tiền Không gian chật chội,negative
Bảng chọn bài khó dùng Ghế ngồi cứng Âm thanh chán Dịch vụ quá tệ Quản lý không quan tâm,negative
Thất vọng về chất lượng Phòng dơ bẩn Phục vụ chậm,negative
Dịch vụ tuyệt vời Nhạc hay,positive
Quản lý thân thiện Dịch vụ tuyệt vời Có nhiều bài hát mới Âm thanh sống động Nhạc hay,positive
Chỗ đậu xe rộng rãi Có nhiều bài hát mới,positive
Nhân viên không nhiệt tình Giá quá cao Trải nghiệm tệ hại Âm thanh chán,negative
Điều hòa hỏng Menu nghèo nàn Nhạc cũ kỹ Phục vụ chậm Quản lý không quan tâm,negative
Ghế ngồi thoải mái Không gian đẹp Trải nghiệm đáng nhớ,positive
Chỗ đậu xe chật Hệ thống ánh sáng kém Menu nghèo nàn Điều hòa hỏng,negative
Ghế ngồi cứng Phòng dơ bẩn Thất vọng về chất lượng Chỗ đậu xe chật Bảng chọn bài khó dùng,negative
Chỗ đậu xe rộng rãi Bảng chọn bài dễ dùng Có nhiều bài hát mới Thời gian phục vụ nhanh Menu đa dạng,positive
Không gian chật chội Thất vọng về chất lượng Nhân viên không thân thiện,negative
Nhạc hay Phòng sạch sẽ,positive
Có nhiều bài hát mới Chất lượng vượt mong đợi Âm thanh sống động Điều hòa mát mẻ Nhân viên thân thiện,positive
Chỗ ngồi rộng rãi Hệ thống ánh sáng đẹp,positive
Chỗ đậu xe chật Phòng dơ bẩn,negative
Có nhiều bài hát mới Menu đa dạng Nhân viên thân thiện Hệ thống ánh sáng đẹp,positive
Chỗ ngồi rộng rãi Có nhiều bài hát mới Nhiệt tình hỗ trợ Hệ thống ánh sáng đẹp Chỗ đậu xe rộng rãi,positive
Phòng dơ bẩn Âm thanh chán Nhạc cũ kỹ Bảng chọn bài khó dùng,negative
Bảng chọn bài khó dùng Dịch vụ quá tệ,negative
Nhân viên không nhiệt tình Không có bài hát mới Âm thanh chán Chỗ đậu xe chật Trải nghiệm tệ hại,negative
Thất vọng về chất lượng Trải nghiệm tệ hại Chỗ đậu xe chật,negative
Có nhiều bài hát mới Thời gian phục vụ nhanh Menu đa dạng,positive
Thất vọng về chất lượng Menu nghèo nàn Giá quá cao Không đáng tiền,negative
Hệ thống ánh sáng kém Không gian chật chội Menu nghèo nàn Không có bài hát mới Nhạc cũ kỹ,negative
Dịch vụ quá tệ Menu nghèo nàn Phòng dơ bẩn,negative
Thất vọng về chất lượng Trải nghiệm tệ hại,negative
Bảng chọn bài khó dùng Hệ thống ánh sáng kém Không gian chật chội Không đáng tiền Nhạc cũ kỹ,negative
Trải nghiệm đáng nhớ Chỗ đậu xe rộng rãi Nhạc hay Bảng chọn bài dễ dùng,positive
Điều hòa mát mẻ Chỗ ngồi rộng rãi Nhạc hay Phòng sạch sẽ Âm thanh sống động,positive
Nhân viên không nhiệt tình Không gian chật chội Hệ thống ánh sáng kém,negative
